key_index,variant,rounds,difference,samples,distinct_output_differences,max_multiplicity,collision_pairs,max_observed_probability,mean_output_difference_weight
1,static,4,single_bit_19,10000,9972,3,30,0.0003,19.0798
1,rotor,4,single_bit_19,10000,9980,4,25,0.0004,19.3345
1,round_only,4,single_bit_19,10000,9970,4,36,0.0004,19.1871
1,position_only,4,single_bit_19,10000,9971,3,34,0.0003,19.4682
1,static,4,single_bit_44,10000,9972,4,35,0.0004,16.0654
1,rotor,4,single_bit_44,10000,9965,4,42,0.0004,15.8349
1,round_only,4,single_bit_44,10000,9960,6,53,0.0006,15.9586
1,position_only,4,single_bit_44,10000,9970,3,34,0.0003,15.9887
1,static,4,single_bit_68,10000,9960,4,50,0.0004,21.1639
1,rotor,4,single_bit_68,10000,9973,3,29,0.0003,20.5383
1,round_only,4,single_bit_68,10000,9973,5,38,0.0005,20.653
1,position_only,4,single_bit_68,10000,9965,3,38,0.0003,20.352
1,static,4,single_bit_93,10000,9960,4,49,0.0004,17.2535
1,rotor,4,single_bit_93,10000,9953,4,56,0.0004,17.2921
1,round_only,4,single_bit_93,10000,9956,5,59,0.0005,17.4485
1,position_only,4,single_bit_93,10000,9961,4,47,0.0004,17.2118
1,static,4,single_bit_127,10000,9954,5,58,0.0005,20.4293
1,rotor,4,single_bit_127,10000,9959,4,54,0.0004,20.6843
1,round_only,4,single_bit_127,10000,9975,4,31,0.0004,20.6587
1,position_only,4,single_bit_127,10000,9968,4,43,0.0004,20.9457
1,static,4,full_byte_0,10000,9998,2,2,0.0002,24.2722
1,rotor,4,full_byte_0,10000,10000,1,0,0.0001,24.8222
1,round_only,4,full_byte_0,10000,10000,1,0,0.0001,24.2302
1,position_only,4,full_byte_0,10000,9999,2,1,0.0002,24.8718
1,static,4,full_byte_5,10000,10000,1,0,0.0001,23.9449
1,rotor,4,full_byte_5,10000,10000,1,0,0.0001,23.9228
1,round_only,4,full_byte_5,10000,10000,1,0,0.0001,23.838
1,position_only,4,full_byte_5,10000,10000,1,0,0.0001,23.6506
1,static,4,full_byte_10,10000,10000,1,0,0.0001,23.879
1,rotor,4,full_byte_10,10000,10000,1,0,0.0001,23.2008
1,round_only,4,full_byte_10,10000,10000,1,0,0.0001,23.7671
1,position_only,4,full_byte_10,10000,10000,1,0,0.0001,23.165
1,static,4,full_byte_15,10000,10000,1,0,0.0001,24.8968
1,rotor,4,full_byte_15,10000,10000,1,0,0.0001,25.2931
1,round_only,4,full_byte_15,10000,10000,1,0,0.0001,25.3061
1,position_only,4,full_byte_15,10000,10000,1,0,0.0001,25.284
1,static,4,two_byte_weight2,10000,9960,4,50,0.0004,21.0874
1,rotor,4,two_byte_weight2,10000,9967,4,38,0.0004,20.7659
1,round_only,4,two_byte_weight2,10000,9953,4,60,0.0004,20.8487
1,position_only,4,two_byte_weight2,10000,9987,3,14,0.0003,20.8524
1,static,4,four_byte_weight4,10000,10000,1,0,0.0001,51.2793
1,rotor,4,four_byte_weight4,10000,10000,1,0,0.0001,50.3405
1,round_only,4,four_byte_weight4,10000,10000,1,0,0.0001,51.1686
1,position_only,4,four_byte_weight4,10000,10000,1,0,0.0001,50.4891
1,static,8,single_bit_0,10000,10000,1,0,0.0001,57.1286
1,rotor,8,single_bit_0,10000,10000,1,0,0.0001,57.2418
1,round_only,8,single_bit_0,10000,10000,1,0,0.0001,56.8693
1,position_only,8,single_bit_0,10000,10000,1,0,0.0001,57.4281
1,static,8,single_bit_19,10000,10000,1,0,0.0001,52.4641
1,rotor,8,single_bit_19,10000,10000,1,0,0.0001,52.7597
1,round_only,8,single_bit_19,10000,10000,1,0,0.0001,52.3374
1,position_only,8,single_bit_19,10000,10000,1,0,0.0001,52.5945
1,static,8,single_bit_44,10000,10000,1,0,0.0001,52.6286
1,rotor,8,single_bit_44,10000,10000,1,0,0.0001,52.5659
1,round_only,8,single_bit_44,10000,10000,1,0,0.0001,52.4583
1,position_only,8,single_bit_44,10000,10000,1,0,0.0001,52.6511
1,static,8,single_bit_68,10000,10000,1,0,0.0001,55.8268
1,rotor,8,single_bit_68,10000,10000,1,0,0.0001,55.243
1,round_only,8,single_bit_68,10000,10000,1,0,0.0001,55.3981
1,position_only,8,single_bit_68,10000,10000,1,0,0.0001,55.0854
1,static,8,single_bit_93,10000,10000,1,0,0.0001,54.539
1,rotor,8,single_bit_93,10000,10000,1,0,0.0001,54.6418
1,round_only,8,single_bit_93,10000,10000,1,0,0.0001,54.7067
1,position_only,8,single_bit_93,10000,10000,1,0,0.0001,54.6547
1,static,8,single_bit_127,10000,10000,1,0,0.0001,57.2129
1,rotor,8,single_bit_127,10000,10000,1,0,0.0001,57.2528
1,round_only,8,single_bit_127,10000,10000,1,0,0.0001,57.3895
1,position_only,8,single_bit_127,10000,10000,1,0,0.0001,57.436
1,static,8,full_byte_0,10000,10000,1,0,0.0001,58.5891
1,rotor,8,full_byte_0,10000,10000,1,0,0.0001,58.8318
1,round_only,8,full_byte_0,10000,10000,1,0,0.0001,58.5533
1,position_only,8,full_byte_0,10000,10000,1,0,0.0001,59.0069
1,static,8,full_byte_5,10000,10000,1,0,0.0001,59.661
1,rotor,8,full_byte_5,10000,10000,1,0,0.0001,59.7856
1,round_only,8,full_byte_5,10000,10000,1,0,0.0001,59.5453
1,position_only,8,full_byte_5,10000,10000,1,0,0.0001,59.496
1,static,8,full_byte_10,10000,10000,1,0,0.0001,60.9597
1,rotor,8,full_byte_10,10000,10000,1,0,0.0001,60.5815
1,round_only,8,full_byte_10,10000,10000,1,0,0.0001,61.1208
1,position_only,8,full_byte_10,10000,10000,1,0,0.0001,60.5955
1,static,8,full_byte_15,10000,10000,1,0,0.0001,61.2516
1,rotor,8,full_byte_15,10000,10000,1,0,0.0001,61.4486
1,round_only,8,full_byte_15,10000,10000,1,0,0.0001,61.3377
1,position_only,8,full_byte_15,10000,10000,1,0,0.0001,61.4277
1,static,8,two_byte_weight2,10000,10000,1,0,0.0001,57.7543
