context_index,variant,rounds,max_weight1_class_probability,max_weight1_class_log2_probability,max_weight1_class_start_bit,max_single_trail_probability,max_single_trail_log2_probability,class_minus_single_gap_bits,finite_4_16_decay_bits_per_round
148,position_only,12,2.5192463326416868e-18,-58.461713511861,85,1.3234889800848443e-23,-76.000000000000,17.538286488139,4.962043106644
148,position_only,16,2.4556128122839833e-24,-78.430191174990,85,1.9721522630525295e-31,-102.000000000000,23.569808825010,4.962043106644
148,rotor,4,2.3320317268371582e-06,-18.709981153067,57,1.4901161193847656e-08,-26.000000000000,7.290018846933,4.962480562210
148,rotor,8,2.6040697376217281e-12,-38.482369053903,57,1.1102230246251565e-16,-53.000000000000,14.517630946097,4.962480562210
148,rotor,12,2.7460348547756567e-18,-58.337355770582,57,8.2718061255302767e-25,-80.000000000000,21.662644229418,4.962480562210
148,rotor,16,2.7667926588954369e-24,-78.258059743646,57,1.2325951644078309e-32,-106.000000000000,27.741940256354,4.962480562210
148,round_only,4,2.1643936634063721e-06,-18.817605646595,76,1.4901161193847656e-08,-26.000000000000,7.182394353405,4.952313193509
148,round_only,8,2.5545676685112539e-12,-38.510057986535,13,1.1102230246251565e-16,-53.000000000000,14.489942013465,4.952313193509
148,round_only,12,2.7036708514025417e-18,-58.359786181335,13,8.2718061255302767e-25,-80.000000000000,21.640213818665,4.952313193509
148,round_only,16,2.817473645397094e-24,-78.231872161782,62,1.2325951644078309e-32,-106.000000000000,27.768127838218,4.952313193509
149,static,4,2.0302832126617432e-06,-18.909887580336,6,7.4505805969238281e-09,-27.000000000000,8.090112419664,4.956113633387
149,static,8,2.3477747523870107e-12,-38.631843137016,6,5.5511151231257827e-17,-54.000000000000,15.368156862984,4.956113633387
149,static,12,2.520489585102354e-18,-58.461001714963,5,4.1359030627651384e-25,-81.000000000000,22.538998285037,4.956113633387
149,static,16,2.5395820942566303e-24,-78.381683166184,15,3.0814879110195774e-33,-108.000000000000,29.618316833816,4.956113633387
149,position_only,4,2.469867467880249e-06,-18.627134939887,1,1.4901161193847656e-08,-26.000000000000,7.372865060113,5.015297958978
149,position_only,8,2.0982798831781224e-12,-38.793930011190,1,1.1102230246251565e-16,-53.000000000000,14.206069988810,5.015297958978
149,position_only,12,1.9721880046866926e-18,-58.814908620506,1,8.2718061255302767e-25,-80.000000000000,21.185091379494,5.015297958978
149,position_only,16,1.8688611954167435e-24,-78.824114856486,1,6.1629758220391547e-33,-107.000000000000,28.175885143514,5.015297958978
149,rotor,4,2.3171305656433105e-06,-18.719229229869,1,1.4901161193847656e-08,-26.000000000000,7.280770770131,4.961154490175
149,rotor,8,2.2805368704581497e-12,-38.673763643569,1,1.1102230246251565e-16,-53.000000000000,14.326236356431,4.961154490175
149,rotor,12,2.4310349649384194e-18,-58.513135064552,1,8.2718061255302767e-25,-80.000000000000,21.486864935448,4.961154490175
149,rotor,16,2.77298981747028e-24,-78.254831958544,1,1.2325951644078309e-32,-106.000000000000,27.745168041456,4.961154490175
149,round_only,4,2.3432075977325439e-06,-18.703083793121,81,1.4901161193847656e-08,-26.000000000000,7.296916206879,4.948877733229
149,round_only,8,2.7592511608887094e-12,-38.398860354637,81,2.2204460492503131e-16,-52.000000000000,13.601139645363,4.948877733229
149,round_only,12,2.9461327917831663e-18,-58.235883249177,81,1.6543612251060553e-24,-79.000000000000,20.764116750823,4.948877733229
149,round_only,16,3.1394133771850213e-24,-78.075779271330,81,1.2325951644078309e-32,-106.000000000000,27.924220728670,4.948877733229
150,static,4,1.9446015357971191e-06,-18.972094003430,101,1.4901161193847656e-08,-26.000000000000,7.027905996570,4.968488888726
