context_index,variant,period_rounds,spectral_decay_bits_per_round,period_perron_factor,iterations
150,position_only,16,4.988015387381,9.447654288080294e-25,11
150,rotor,16,5.018409952021,6.744180458042223e-25,11
150,round_only,16,5.008494880610,7.528092121211395e-25,11
151,static,16,5.031820924547,5.8121324466994096e-25,10
151,position_only,16,5.014829630406,7.0173595582820748e-25,11
151,rotor,16,4.991167206747,9.1231185498780275e-25,10
151,round_only,16,4.986732141269,9.5830713613787358e-25,11
152,static,16,5.009047006576,7.4821364020022629e-25,11
152,position_only,16,4.985021548325,9.7666080420395925e-25,10
152,rotor,16,5.005340495368,7.7961099984453332e-25,11
152,round_only,16,4.998392176595,8.4206263362530519e-25,10
153,static,16,5.007216586311,7.6355759916484752e-25,12
153,position_only,16,4.990477508340,9.1931688503579894e-25,9
153,rotor,16,4.954965735023,1.3630349138349716e-24,11
153,round_only,16,4.969828742718,1.1558982389231546e-24,12
154,static,16,5.018145090265,6.7640200112614565e-25,15
154,position_only,16,4.989885840214,9.2536910233425121e-25,11
154,rotor,16,4.983607753839,9.9209502437285285e-25,12
154,round_only,16,4.976572082618,1.0726065402791823e-24,11
155,static,16,5.016545109913,6.8851143419710834e-25,12
155,position_only,16,4.977676955756,1.0595436217930954e-24,10
155,rotor,16,4.951734698630,1.4127626421265457e-24,12
155,round_only,16,4.963771383919,1.2362171070197096e-24,11
156,static,16,4.973402802903,1.1109773705633762e-24,10
156,position_only,16,5.051797590301,4.6571292671776846e-25,10
156,rotor,16,4.972677988399,1.1199438968934144e-24,11
156,round_only,16,4.969544369975,1.1595494591726597e-24,10
157,static,16,5.002730585619,8.0250645811884733e-25,14
157,position_only,16,4.975976609649,1.07971348221613e-24,11
157,rotor,16,5.000921800853,8.1876734171285646e-25,12
157,round_only,16,5.001168099781,8.165338956745744e-25,10
158,static,16,4.966351411591,1.2013459749666643e-24,10
158,position_only,16,4.874259043706,3.3360237922402953e-24,11
158,rotor,16,4.940650137081,1.5975621793884438e-24,11
158,round_only,16,4.938617550669,1.6339835582224253e-24,11
159,static,16,4.909399874553,2.2593006788291561e-24,10
159,position_only,16,4.899004714843,2.5353744586049961e-24,11
159,rotor,16,4.934067508242,1.7185527623025738e-24,10
159,round_only,16,4.948082983592,1.4711522301594886e-24,10
160,static,16,4.972142610043,1.1266133846315018e-24,10
160,position_only,16,4.941349270386,1.585223160962574e-24,10
160,rotor,16,4.981079292244,1.0203086206844775e-24,11
160,round_only,16,4.982284630450,1.0067602705242607e-24,11
161,static,16,4.973855229086,1.1054169288522173e-24,12
161,position_only,16,5.018130772359,6.7650941597510179e-25,13
161,rotor,16,4.997922166915,8.4646340726327074e-25,11
161,round_only,16,4.993937804448,8.8470562814989139e-25,11
162,static,16,4.923935127370,1.9229379890714663e-24,11
162,position_only,16,4.973076741454,1.1150020897254027e-24,11
162,rotor,16,4.965900294391,1.2073714290185842e-24,10
162,round_only,16,4.969991120757,1.1538185357699294e-24,12
163,static,16,4.964250910101,1.2296602122288914e-24,11
163,position_only,16,4.978990430878,1.0442212211736056e-24,11
163,rotor,16,5.003285735358,7.9758075909414535e-25,11
163,round_only,16,5.009572159301,7.4386861190818575e-25,10
164,static,16,5.010583988303,7.3556791889687291e-25,12
164,position_only,16,4.914559059520,2.1336585577759311e-24,12
164,rotor,16,4.994867762310,8.7562805270743301e-25,11
164,round_only,16,4.980387275266,1.0281693231513889e-24,10
165,static,16,4.926492570830,1.8691639840178796e-24,12
165,position_only,16,4.877089566826,3.2329276196649376e-24,9
165,rotor,16,4.942540846827,1.5644122390927215e-24,11
165,round_only,16,4.941034037740,1.5907748664254486e-24,10
166,static,16,4.971505752753,1.1345987921252143e-24,11
166,position_only,16,4.965790309414,1.2088450459611584e-24,11
166,rotor,16,4.994682963713,8.7742447689471639e-25,10
166,round_only,16,5.001626232686,8.1239572574323016e-25,10
167,static,16,5.038762787770,5.3814605078710824e-25,11
167,position_only,16,4.948234959529,1.4686747399721437e-24,11
167,rotor,16,4.987491244271,9.5027327991334878e-25,10
167,round_only,16,4.984242897574,9.8513129230094883e-25,10
168,static,16,5.039801000595,5.319852931540404e-25,13
168,position_only,16,5.001470687137,8.137983627989459e-25,11
168,rotor,16,5.000967570035,8.1835184376148898e-25,11
168,round_only,16,4.994712235214,8.7713968364942621e-25,10
169,static,16,4.952445029477,1.4016768738406525e-24,10
169,position_only,16,4.988804423349,9.3653414766902454e-25,10
169,rotor,16,4.979210846227,1.0416717559785065e-24,11
169,round_only,16,4.972361391284,1.1238831268124754e-24,10
170,static,16,4.981996526099,1.0099821948674797e-24,12
170,position_only,16,4.934737825405,1.7058243167642726e-24,10
170,rotor,16,4.977961531278,1.0562049272934375e-24,10
170,round_only,16,4.986741690313,9.5820565459864274e-25,10
171,static,16,4.942541137295,1.5644071995103441e-24,9
171,position_only,16,4.946865823806,1.4911455615179823e-24,10
171,rotor,16,4.990227500447,9.2186939014201193e-25,9
171,round_only,16,4.985623886856,9.7015830841696378e-25,11
172,static,16,4.990009963358,9.2409614360761095e-25,12
172,position_only,16,4.986176554131,9.6423012645922971e-25,10
172,rotor,16,5.009184663319,7.4707224224912809e-25,11
172,round_only,16,4.993224093584,8.9173613219144861e-25,11
173,static,16,4.995909667721,8.6556831489066486e-25,12
173,position_only,16,4.951972912276,1.4090352272564269e-24,11
173,rotor,16,4.994480258465,8.7939921013425804e-25,9
173,round_only,16,4.982302971374,1.0065555089035886e-24,11
174,static,16,4.968858896590,1.1683981118425857e-24,12
174,position_only,16,4.994451474319,8.7967998238544521e-25,13
174,rotor,16,5.033471826612,5.7066858531118455e-25,11
174,round_only,16,5.028023371804,6.062145264987873e-25,11
175,static,16,4.996209557786,8.6269431422025701e-25,10
175,position_only,16,5.049231121265,4.7915898838535335e-25,10
175,rotor,16,4.993903863166,8.8503871249352569e-25,11
175,round_only,16,4.986896246672,9.5656461562558858e-25,11
176,static,16,5.042218369402,5.1791252976176627e-25,11
176,position_only,16,5.011891210463,7.2498090889250692e-25,11
176,rotor,16,5.009192914121,7.4700388504543087e-25,12
176,round_only,16,4.997047813219,8.5471139747132393e-25,10
177,static,16,5.019343943074,6.6746828257490089e-25,11
177,position_only,16,4.984946365109,9.7747549193088909e-25,10
177,rotor,16,4.993744632655,8.8660300340566852e-25,10
177,round_only,16,4.991981941422,9.0410561216887042e-25,10
178,static,16,4.982450276235,1.004912478671543e-24,13
178,position_only,16,4.937852803371,1.6479008288890971e-24,12
178,rotor,16,5.015494007201,6.9658444481488316e-25,10
178,round_only,16,5.029305051794,5.9765857232757576e-25,11
179,static,16,4.924682676223,1.9070616169679458e-24,10
179,position_only,16,5.017532790900,6.8101081887722393e-25,11
179,rotor,16,4.968171864739,1.1773346383921739e-24,10
179,round_only,16,4.969814026129,1.1560869110079591e-24,11
180,static,16,5.011391634252,7.2900879719975615e-25,10
180,position_only,16,5.054469180786,4.5211678511721226e-25,10
180,rotor,16,5.009263800197,7.4641685741360164e-25,10
180,round_only,16,5.012528799105,7.1987258972680919e-25,10
181,static,16,4.942626334027,1.5629297487033328e-24,10
181,position_only,16,4.967998159837,1.1796048996040967e-24,12
181,rotor,16,4.954872889534,1.3644391393044634e-24,12
181,round_only,16,4.949422705255,1.4494554513503823e-24,10
182,static,16,4.979829673593,1.0345472228316712e-24,10
182,position_only,16,4.990632639262,9.177365996849428e-25,10
182,rotor,16,4.942993806597,1.5565731445657582e-24,11
182,round_only,16,4.940744382864,1.5958932491054228e-24,13
183,static,16,5.003514741613,7.9555766505094736e-25,11
183,position_only,16,5.037443117385,5.4608006604266481e-25,12
183,rotor,16,4.991865900699,9.0526988434680143e-25,11
183,round_only,16,4.988405689184,9.4068476897188588e-25,12
184,static,16,5.061474225876,4.1832225670873768e-25,11
184,position_only,16,4.988075760435,9.4413306472307559e-25,10
184,rotor,16,4.985537026325,9.710933258969925e-25,10
184,round_only,16,4.976136787478,1.077797150515959e-24,11
185,static,16,4.971339930051,1.1366872761105437e-24,10
185,position_only,16,4.936107886057,1.6801011589975514e-24,12
185,rotor,16,4.968422294353,1.1740693007575855e-24,9
185,round_only,16,4.974921169146,1.0924260112440873e-24,9
186,static,16,4.944780338960,1.5260358491922237e-24,11
186,position_only,16,4.990445978580,9.1963840451539405e-25,11
186,rotor,16,4.914050854991,2.1457181701785135e-24,12
186,round_only,16,4.936464376056,1.6734718235490972e-24,10
187,static,16,4.988151178998,9.4334370440336581e-25,11
187,position_only,16,4.963222780556,1.243761433890093e-24,11
187,rotor,16,4.995194083354,8.7246486786866086e-25,9
187,round_only,16,4.997059101843,8.5460439871403023e-25,10
188,static,16,4.989577967675,9.2853409736913971e-25,11
188,position_only,16,4.985880844734,9.6739753147750581e-25,9
188,rotor,16,4.983627657272,9.9187605732074157e-25,12
188,round_only,16,4.984143876257,9.8621373956930987e-25,9
189,static,16,4.974724402943,1.0948125139358736e-24,10
189,position_only,16,4.924198307109,1.9173335838377928e-24,11
189,rotor,16,4.990695121396,9.1710087527499377e-25,11
189,round_only,16,4.986817913879,9.5739598116887496e-25,11
190,static,16,4.969445902068,1.1608164299020606e-24,9
190,position_only,16,4.970190198517,1.151273895694828e-24,10
190,rotor,16,4.981894844665,1.0111217772343559e-24,11
190,round_only,16,4.985046276534,9.7639299696738126e-25,10
191,static,16,4.930418199882,1.789532914505434e-24,11
191,position_only,16,5.014506862444,7.0425239899831803e-25,13
191,rotor,16,4.965684444380,1.2102651612112201e-24,10
191,round_only,16,4.963755817512,1.2364305422181137e-24,10
192,static,16,4.874993221908,3.3089711809942193e-24,10
192,position_only,16,4.942251395511,1.5694422558377344e-24,10
192,rotor,16,4.952661736814,1.398312182823413e-24,9
192,round_only,16,4.948564847125,1.4633113071096388e-24,10
193,static,16,4.925916838487,1.8811369214915526e-24,9
193,position_only,16,4.922942629158,1.9442209879606797e-24,11
193,rotor,16,4.932358728829,1.7514315629308324e-24,9
