context_index,variant,mean_one_step_retention_probability,neglog2_mean_one_step_retention,distinct_sbox_input_differences_over_16_rounds
104,rotor,0.031585693359375,4.984584947613,203
104,round_only,0.031585693359375,4.984584947613,203
105,static,0.0316162109375,4.983191712313,96
105,position_only,0.031982421875,4.966576998463,94
105,rotor,0.03179931640625,4.974860437721,196
105,round_only,0.03179931640625,4.974860437721,196
106,static,0.03143310546875,4.991571377929,104
106,position_only,0.03204345703125,4.963826387447,103
106,rotor,0.031158447265625,5.004232849122,200
106,round_only,0.031158447265625,5.004232849122,200
107,static,0.03216552734375,4.958340848363,100
107,position_only,0.03338623046875,4.904602977207,95
107,rotor,0.03271484375,4.933910809542,196
107,round_only,0.03271484375,4.933910809542,196
108,static,0.03033447265625,5.042897958438,100
108,position_only,0.03131103515625,4.997184984393,96
108,rotor,0.03155517578125,4.985979529685,197
108,round_only,0.03155517578125,4.985979529685,197
109,static,0.029541015625,5.081136762725,100
109,position_only,0.0318603515625,4.972094003430,99
109,rotor,0.031829833984375,4.973476557480,204
109,round_only,0.031829833984375,4.973476557480,204
110,static,0.0299072265625,5.063362060997,94
110,position_only,0.03240966796875,4.947431949196,99
110,rotor,0.031402587890625,4.992972733106,194
110,round_only,0.031402587890625,4.992972733106,194
111,static,0.031982421875,4.966576998463,92
111,position_only,0.0313720703125,4.994375450806,101
111,rotor,0.0312347412109375,5.000704612977,197
111,round_only,0.0312347412109375,5.000704612977,197
112,static,0.03216552734375,4.958340848363,98
112,position_only,0.0316162109375,4.983191712313,104
112,rotor,0.031524658203125,4.987375461135,202
112,round_only,0.031524658203125,4.987375461135,202
113,static,0.0325927734375,4.939304068312,99
113,position_only,0.03125,5.000000000000,97
113,rotor,0.031341552734375,4.995779533682,202
113,round_only,0.031341552734375,4.995779533682,202
114,static,0.03179931640625,4.974860437721,99
114,position_only,0.0306396484375,5.028456446049,96
114,rotor,0.031646728515625,4.981799821187,209
114,round_only,0.031646728515625,4.981799821187,209
115,static,0.03204345703125,4.963826387447,101
115,position_only,0.03271484375,4.933910809542,95
115,rotor,0.0322265625,4.955605880642,197
115,round_only,0.0322265625,4.955605880642,197
116,static,0.0313720703125,4.994375450806,100
116,position_only,0.0316162109375,4.983191712313,98
116,rotor,0.0315704345703125,4.985282070140,197
116,round_only,0.0315704345703125,4.985282070140,197
117,static,0.0316162109375,4.983191712313,95
117,position_only,0.03045654296875,5.037103994663,99
117,rotor,0.031097412109375,5.007061663834,185
117,round_only,0.031097412109375,5.007061663834,185
118,static,0.031494140625,4.988772744577,99
118,position_only,0.03045654296875,5.037103994663,97
118,rotor,0.0313720703125,4.994375450806,199
118,round_only,0.0313720703125,4.994375450806,199
119,static,0.03240966796875,4.947431949196,96
119,position_only,0.03216552734375,4.958340848363,95
119,rotor,0.032196044921875,4.956972716405,192
119,round_only,0.032196044921875,4.956972716405,192
120,static,0.03045654296875,5.037103994663,93
120,position_only,0.03179931640625,4.974860437721,94
120,rotor,0.03179931640625,4.974860437721,194
120,round_only,0.03179931640625,4.974860437721,194
121,static,0.0308837890625,5.017006425306,97
121,position_only,0.03009033203125,5.054556163622,98
121,rotor,0.0311126708984375,5.006353939983,197
121,round_only,0.0311126708984375,5.006353939983,197
122,static,0.03179931640625,4.974860437721,104
122,position_only,0.03021240234375,5.048715285033,104
122,rotor,0.03082275390625,5.019860422361,207
122,round_only,0.03082275390625,5.019860422361,207
123,static,0.0325927734375,4.939304068312,101
123,position_only,0.0308837890625,5.017006425306,96
